,Date,Food_and_drinks,Alcohol_and_tobacco,Household_consumable_goods,Medication,Stationery,Rate,Interest_rate
0,2019-01-01,102.0,105.2,102.0,101.5,102.0,4.4,4.625
1,2019-02-01,101.4,106.9,102.2,101.6,102.1,3.8,4.666666666666667
2,2019-03-01,100.7,108.1,102.5,101.9,102.3,3.4,4.708333333333333
3,2019-04-01,100.7,108.5,102.7,102.1,102.6,3.2,4.75
4,2019-05-01,100.9,108.8,102.9,102.4,103.0,3.2,4.625
5,2019-06-01,101.2,109.3,103.1,102.6,104.2,2.7,4.5
6,2019-07-01,101.4,109.9,103.5,103.5,104.9,2.2,4.375
7,2019-08-01,101.6,111.6,103.8,104.0,105.2,1.4,4.25
8,2019-09-01,101.8,115.9,104.1,104.1,105.5,0.5,4.2
9,2019-10-01,102.1,118.0,104.3,104.4,105.7,0.6,4.15
10,2019-11-01,102.4,119.8,104.6,104.7,105.9,1.2,4.1
11,2019-12-01,103.6,121.4,104.9,104.9,106.1,2.4,4.05
12,2020-01-01,104.5,123.6,105.5,105.2,106.3,3.0,4.0
13,2020-02-01,103.9,124.8,106.2,105.5,106.8,2.5,3.583333333333333
14,2020-03-01,103.4,126.2,107.0,105.8,107.2,2.2,3.1666666666666665
15,2020-04-01,104.4,126.7,107.1,106.0,107.3,1.8,2.75
16,2020-05-01,104.3,127.3,107.3,106.2,107.3,1.6,2.6666666666666665
17,2020-06-01,104.1,128.4,107.5,106.5,107.4,2.3,2.583333333333333
18,2020-07-01,103.8,130.1,107.8,106.9,107.8,2.4,2.5
19,2020-08-01,103.5,130.4,107.9,107.2,108.0,2.2,2.4166666666666665
20,2020-09-01,103.5,130.4,108.0,107.4,108.2,2.2,2.333333333333333
21,2020-10-01,104.3,131.6,108.2,107.6,108.3,2.3,2.25
22,2020-11-01,106.9,134.5,108.3,108.0,108.5,3.0,2.166666666666667
23,2020-12-01,108.4,135.9,108.4,108.2,108.7,3.3,2.083333333333333
24,2021-01-01,110.7,137.6,108.8,108.6,109.2,3.7,2.0
25,2021-02-01,110.3,139.4,109.0,109.0,109.5,4.2,2.0
26,2021-03-01,108.9,140.4,109.1,109.3,109.8,4.1,2.0
27,2021-04-01,108.4,140.9,109.5,109.5,109.9,4.1,2.0
28,2021-05-01,107.9,141.4,109.8,109.8,110.0,4.1,2.0
29,2021-06-01,107.8,141.8,110.0,109.9,110.1,3.7,2.0
30,2021-07-01,107.9,142.2,110.1,110.3,110.3,3.7,2.0
31,2021-08-01,109.2,142.6,110.2,110.5,110.5,4.4,2.0
32,2021-09-01,108.7,142.8,110.6,110.6,110.7,4.2,2.0
33,2021-10-01,108.2,143.1,110.6,110.8,110.9,4.0,2.0
34,2021-11-01,109.3,143.8,110.9,110.9,111.1,3.7,2.0
35,2021-12-01,110.1,144.3,111.1,111.1,111.2,3.1,2.0
36,2022-01-01,112.6,145.3,111.7,111.4,111.6,3.0,2.0
37,2022-02-01,111.6,145.9,111.9,111.4,111.7,3.0,2.0
38,2022-03-01,111.7,147.2,112.4,111.6,111.9,4.0,2.0
39,2022-04-01,112.5,149.2,112.7,111.8,112.2,4.9,2.0
40,2022-05-01,113.2,151.0,113.0,112.0,112.6,5.4,2.4166666666666665
41,2022-06-01,114.3,152.8,113.6,112.5,113.2,6.1,2.833333333333333
42,2022-07-01,115.3,154.3,114.3,112.9,113.6,6.4,3.25
43,2022-08-01,116.1,155.9,114.8,113.3,114.5,6.3,3.642857142857143
44,2022-09-01,116.7,156.8,115.4,113.6,115.5,6.9,4.035714285714286
45,2022-10-01,118.4,158.0,115.8,113.9,116.2,7.7,4.428571428571429
46,2022-11-01,120.2,159.0,116.7,114.4,117.0,8.0,4.821428571428571
47,2022-12-01,121.3,159.7,117.3,114.8,117.6,8.1,5.214285714285714
48,2023-01-01,124.6,161.2,118.6,115.4,118.4,8.7,5.607142857142858
49,2023-02-01,123.6,162.0,120.0,116.0,119.2,8.6,6.0
50,2023-03-01,122.1,165.2,120.5,116.4,119.8,7.6,6.0
51,2023-04-01,121.4,168.2,121.0,116.7,120.5,6.6,6.0
52,2023-05-01,121.6,169.6,121.4,117.0,121.2,6.1,6.0
53,2023-06-01,122.0,170.5,121.8,117.3,121.9,5.4,6.0
54,2023-07-01,122.6,171.1,122.0,117.6,122.8,4.7,6.0
55,2023-08-01,125.5,171.6,122.3,117.9,124.8,5.3,6.0
56,2023-09-01,128.0,172.2,122.7,118.1,126.5,6.1,6.0
57,2023-10-01,126.7,172.7,123.0,118.5,127.4,4.9,6.0
58,2023-11-01,127.0,173.3,123.4,118.7,127.9,4.1,6.0
59,2023-12-01,127.9,174.1,123.5,118.9,128.1,3.9,6.0
60,2024-01-01,128.9,174.7,124.0,119.1,128.6,2.8,6.0
61,2024-02-01,129.3,175.9,124.7,119.6,129.4,3.4,6.0
62,2024-03-01,128.9,176.3,125.1,119.8,129.9,3.7,6.0
63,2024-04-01,128.7,176.5,125.2,119.9,130.3,3.8,6.0
64,2024-05-01,128.7,176.8,125.5,120.1,130.5,3.9,6.0
65,2024-06-01,129.5,177.0,125.6,120.3,130.8,3.7,6.0
66,2024-07-01,130.4,177.0,125.8,120.6,131.7,4.4,6.0
67,2024-08-01,130.4,177.2,126.0,120.7,133.3,3.3,6.0
68,2024-09-01,129.8,177.5,126.2,121.0,133.7,1.9,6.0
